"","X","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date","sentiment","sentiment_2","category"
"11",12,"US",39466736,"R3PZUZS3H4JEE7","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","great","2015-08-31",1,1,"OTHER"
"12",13,"US",1879148,"R1G87YG68LE5PX","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","I love this product","2015-08-31",1,1,"OTHER"
"13",14,"US",28045926,"R3C45ONZ6HK8O","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Love it!!!","2015-08-31",1,1,"OTHER"
"14",15,"US",21383838,"RSCHWRFOYD08E","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Highly Recommend","I really like using this HD display. I have not used all its features yet, but what I have used I live.","2015-08-31",1,1,"Display"
"15",18,"US",28756501,"R14NQK09ZDCN1R","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","I love it, I just wish I could download books ...","I love it, I just wish I could download books without having internet service like I could with my keyboard Kindle.","2015-08-31",1,1,"OTHER"
"16",20,"US",9326215,"R1H267N5WIK5RQ","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Excellent device. HD is top notch. Sound is great. Would definately recommend Fire HD","2015-08-31",1,1,"Display"
"17",22,"US",12553662,"R3STY187A5Z2KB","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","I'm happy with my new Kindle Fire","I'm happy with my new Kindle Fire.  However, this is my second one because after a little more than a year, my first Kindle cannot be used since it refuses to charge up.  (Not happy about that!)","2015-08-31",1,1,"Battery"
"18",23,"US",30393633,"R3H9CPCNGZ7HKG","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","I was able to program the Kindle easily on my own","I thought I would have to ask a professional to set me up with my new Kindle Fire HD.  NOT SO. I was able to program the Kindle easily on my own.  All of my previous books were already there. (In the Clouds). I was also able to download a few songs on my own.  I am enjoying my Kindle Fire HD.","2015-08-31",1,1,"Ease"
"19",24,"US",7744783,"R29PB20W5P6IIN","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Great item","2015-08-31",1,1,"OTHER"
"20",26,"US",27325735,"R25OU3I37Y1H8Y","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Good for kids","Overall it's good for the kids.  I don't take advantage of all the things it can do.  But some things are confusing like how apps are loaded and then given to other profiles.  Each app uses space and must be loaded to each profile.  So for me the same app is taking up space 3 places for each profile.  And if you delete an app from the main profile it does not delete from the others.  And for the kids profile I can seem to get it removed at all!  It's not in the device screen but still shows in settings-it's really confusing.","2015-08-31",1,1,"Apps"
"21",27,"US",111804,"R2CSFZRDSZJVOT","B00LCHRQL6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","A good purchase.","Does everything I wanted it to do.","2015-08-31",1,1,"OTHER"
"22",28,"US",12223745,"R1LDGPAS333WJO","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","how did I ever get along without this.","It works so well, and fast! Not using it much yet until case comes in for fear of scratching fab display!","2015-08-31",1,1,"Speed"
"23",32,"US",40762084,"R3S8AYV78RCIWQ","B00LCHS1FG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Love it! Convenient and use the library to download ...","Love it!  Convenient and use the library to download books!  Should have done this a long time ago!","2015-08-30",1,1,"Reading"
"24",33,"US",6172621,"RIWQM94XCZJPO","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Excellent sound. I love my new Kindle Fire HD","This generation has perfected the placement of all the ports. Very fast operation. Excellent sound. I love my new Kindle Fire HD!!","2015-08-30",1,1,"Speed"
"25",35,"US",32265733,"R3IKJKT1409WWT","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","I love","It was a gift and  much appreciated.  I love it","2015-08-30",1,1,"OTHER"
"26",36,"US",23048224,"RBUHSGE7FX4AA","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Love it.","2015-08-30",1,1,"OTHER"
"27",37,"US",28153258,"R1V2XEV53DGGSO","B00LCHS1FG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Nothing Short of Amazing.","The sound is amazing. The video is the best. I don't bother watching the news on the television anymore, I go straight to my Kindle Fire.","2015-08-30",1,1,"Display"
"28",38,"US",23890478,"RFG5NZAUSNTA9","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","Great for ebooks","This is the first real tablet I've used with any success. I was once given a ProntoTec 7&#34; tablet and it was so useless, I was put off on tablets altogether. But the Kindle Fire actually works, and works well. It's quick, responds accurately to my touch, and makes an excellent Kindle ebook reader. I've been reading like crazy since I got it. It also performs fine for simple things like checking email and getting notices from my gmail calendar. For other uses, like games, or anything that involves text input, I'd rather be at my desktop with a big screen and good keyboard. That's not a knock on the Fire, it's just my preference. The point is that I haven't been downloading apps and using them. Other than sitting in my easy chair and reading, I can't think of anything I'd rather do on a tablet than on a desktop PC.<br /><br />I once read that Amazon sells the Kindles at below cost in the hope the buyers will spend money on the books, movies, videos, subscription services, etc. I don't know if that is true, but really, a tablet isn't of any value without the content, so any review of the Kindle Fire must address that. I have enjoyed my free trials of both Amazon Prime and Kindle Unlimited (KU). Both are paid services that give you privileges and &#34;free&#34; stuff (that you are paying for with your subscription). I have decided to cancel both at the end of the free trial period next week. I'm not saying they aren't worth it. I've found a couple of good TV series on Amazon Prime (Bosch, Sneaky Pete) and read some good books from KU. But after checking my reading wish list against the KU offerings, I find that most of them are available on Kindle for money, but are not in the KU or Prime catalog. So I would still have to pay for them. Similarly, the best movies on Amazon video are not included in Prime. So despite paying for these free downloads and streams through the subscription, I'd still pay full retail on top of that. I don't see the point of the subscriptionif that holds true. I've downloaded the Overdrive app so I can get some of these ebooks from my local library. I'll try that for awhile. I'll also check out the free books that are always being offered on Amazon and see how good or bad they are. I may go back to KU after I've compared that experience. And I may just start buying Kindle books without the subscriptions services. I really like the Kindle for book reading.<br /><br />Your needs and tastes may vary. I just urge you to consider how you're going to use the Kindle. The Fire does not allow access to the Google app store downloads. You have to get your apps from Amazon's store. Many are free, but you can't necessarily get the ones you would like that are available for Android phones and tablets. Also, this model is wi-fi only, so it's not connected using the cell service data plans. That works for me because I don't take it out of the house, but you may want to spring for something more expensive if you need to be always connected.","2015-08-30",1,1,"Reading"
"29",39,"US",9852950,"R2WAIRGEM0LS38","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Kindle is the way to go.","Kindle is like a little computer that is lite to carry n your pocketbook n take with u everywhere.  The site comes n clear n safe. I use this device, more than my laptop. I can't wait to explore what else it has to offer.","2015-08-30",1,1,"Portability"
"30",40,"US",15483840,"R3K8565SSEPAA7","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","I like everything about it except that I don't think the ...","I like everything about it except that I don't think the battery lasts as long as my other one did.","2015-08-30",1,1,"Battery"
"31",41,"US",29719540,"R28A6S3NNTWKSS","B00KC6XV58",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Five Stars, only one request to make it easier to exit full screen. ðŸ˜‰","2015-08-30",1,1,"Ease"
"32",42,"US",25308587,"R1C20D21ID5X0H","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","It is so easy to use. Books are easy to read and I carry it everywhere with me.","2015-08-30",1,1,"Ease"
"33",43,"US",35030828,"R307TUR35MOOET","B00LCI2I7C",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Love it, everything I wanted in a kindle","Love it , everything I wanted in a kindle","2015-08-30",1,1,"OTHER"
"34",44,"US",16026873,"R1RAJV1XG13NCD","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Kind kindle","Great tablet from amazon love the new changes with HD and speed","2015-08-30",1,1,"Display"
"35",45,"US",26448630,"REWYNRABSBG08","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","in love","I have two. One for each of us. We both love them!!","2015-08-30",1,1,"OTHER"
"36",46,"US",15957128,"RW58GPVWA6STI","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Another great Kindle","My third kindle and I have loved them all. Kindle support sucks but the device rocks.","2015-08-30",1,1,"Reading"
"37",47,"US",716040,"R16IDB66K83LSK","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Fantastic!","Fantastic!ðŸ˜¯","2015-08-30",1,1,"OTHER"
"38",50,"US",11213838,"R3TSMPQU9QXXYA","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","fire","I love my fire","2015-08-30",1,1,"OTHER"
"39",51,"US",35318032,"R1ZHNJ3F5OOQQH","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,1,1,"N","Y","So far so good. Wanted a small reader that could also be ...","So far so good.  Wanted a small reader that could also be used to access my e-mail and this looks like it will fill the bill.  Will be able to travel and leave my laptop at home.  Love that it has a USB port.","2015-08-30",1,1,"Portability"
"40",52,"US",1187831,"R3LX41UFKG4OG","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","love it","2015-08-30",1,1,"OTHER"
"41",54,"US",46671395,"R73EUCWR96U8R","B00LCI2I7C",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Love it","i lve this tablet. it was a little different to get used to but now I love it. Very clear screen. Nice to hold. Very Durable!","2015-08-30",1,1,"Display"
"42",56,"US",27773013,"R2LM29OWBLG52X","B00IKPX4GY",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","it's great. This is my second Fire and my third ...","Just received Kindle Fire last week and still getting used to it and learning new things. But so far, it's great. This is my second Fire and my third Kindle and thoroughly love it. I am an avid reader and would rather read from my kindle than a book.","2015-08-30",1,1,"Reading"
"43",57,"US",6842005,"R6SLIT11M70C8","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Amazing","It's so much faster. It's screen is a bigger.","2015-08-30",1,1,"Speed"
"44",58,"US",11208721,"R1SJYAKBAYFSFK","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","Where can I find the link to install wechat on my kindle fire?","I love this device but tried so many times still can't get wechat installed on my kindle fire. Help!","2015-08-30",1,1,"Apps"
"45",59,"US",13131421,"RGLR9RVUKQ9OO","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Love it!","2015-08-29",1,1,"OTHER"
"46",60,"US",51125642,"R1CRTW6QA5N193","B00LCHS1FG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Very happy!","Works great. Couldn't be happier with this!","2015-08-29",1,1,"OTHER"
"47",62,"US",117788,"R3H0Z7KAN73F81","B00KC6XV58",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","love it","2015-08-29",1,1,"OTHER"
"48",64,"US",1798122,"R21LCDWVU5PXLL","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Gift for grandson and he loves it!","2015-08-29",1,1,"OTHER"
"49",66,"US",45939382,"R3MAP2MNK0OW9C","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","I love this little unite so far, and has more than I thought it would","2015-08-29",1,1,"OTHER"
"50",68,"US",10333619,"R3M3FNW2EZ7YJF","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Exceeds!","Exceeds all expectations!","2015-08-29",1,1,"OTHER"
"51",70,"US",29811747,"R3QCGLDY3OG19E","B00IKPX4GY",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Great item","This was a gift for my birthday and it was a wonderful surprise. The tablet exceeded my expectations performance wise and I just can't get enough of it. I would recommend this to everyone, it's a must have.","2015-08-29",1,1,"Speed"
"52",71,"US",30718366,"R2P2XC0M072KKK","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Excellent","2015-08-29",1,1,"OTHER"
"53",72,"US",46021373,"R3T51J4DCAFVBX","B00IKPX4GY",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Love the upgrade.","2015-08-29",1,1,"OTHER"
"54",73,"US",7602347,"R1L7MG2XULPX5A","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,1,1,"N","Y","thank you Jim and Andrea.I love it","It was a birthday gift and I love it","2015-08-29",1,1,"OTHER"
"55",74,"US",22352445,"R2NXTHRMQ6H7VX","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","My 8 and 7 year old love their tablets!","2015-08-29",1,1,"Parental Controls"
"56",75,"US",47896032,"R34RLDIZV1E2ZV","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Great little tablet for the money well worth it!","A very crisp clear picture, & sleek design.. Not as fast as an apple I pad  mini but great for all the things other than fast gaming..Fantastic price as well! I give it a 5 star plus.","2015-08-29",1,1,"Display"
"57",76,"US",24441593,"R16WM6BKLYPN6C","B00KC6XV58",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","I love it but not user friendly","I love it but not user friendly.  I know the world likes going online for everything, I would prefer an owners manual and I would not mind paying extra for it.","2015-08-29",1,1,"Ease"
"58",77,"US",43234894,"RPHUKQ3EEC9LJ","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","I love it!!","2015-08-29",1,1,"OTHER"
"59",78,"US",37027270,"R18NKI91ZE9C4C","B00KC72CRU",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","Four Stars","great product although the battery doesn't last as long as I'd like.","2015-08-29",1,1,"Battery"
"60",79,"US",3082853,"R2OMD7T9T29887","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Love it","Amazing!","2015-08-29",1,1,"OTHER"
"61",80,"US",25590101,"RDSO4JEFMKNYX","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Excellent","2015-08-29",1,1,"OTHER"
"62",81,"US",46771026,"R2ZAL750H9KDT2","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","good","Like , this is my third one","2015-08-29",0,1,"OTHER"
"63",82,"US",33675477,"R2V281EFO9F3EX","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","It is a good product for the price","It is a good product for the price. Good quality and a variety of features. Good for the entire family.","2015-08-29",1,1,"Price"
"64",83,"US",44617013,"R3B5NGIJMM6ZY2","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Convenient","I loved the tablet better than the computer because of convenience","2015-08-29",1,1,"Portability"
"65",84,"US",44787781,"R1JTEI82CUNE5M","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Love it for the price","Love it for the price. Works great, much cheaper than an iPad. Battery life could be a bit better but that is my only issue.","2015-08-29",1,1,"Price"
"66",85,"US",12105035,"R2CVB07RLHMK3","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","I love it! It does everything I need it to!","2015-08-29",1,1,"OTHER"
"67",86,"US",41873889,"R2J7RCGZ6EL4IQ","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","I love Kindle! Works great!","2015-08-29",1,1,"Reading"
"68",88,"US",31800968,"R2N4XQ3MW4RMLF","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Great product for a very reasonable price","Great product for a very reasonable price.  I am amazed at all it can do.  I like the 7 inch screen for is more book-size for reading.  I can now look at magazines in color!  Thank you for developing such a wonderful gadget.","2015-08-28",1,1,"Price"
"69",89,"US",29892002,"R1BZGZJ1H85VA3","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","Four Stars","Love it, I'm not a techie gal, but having pretty loaded with all my info was great.","2015-08-28",1,1,"Ease"
"70",90,"US",20613152,"R11WY80BP3ISK","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","KINDLE HD7","Got it for my wife, she spends a lot of time on it, so far no complaints.  Amazon on the special sales day had it for $79, I tried to purchase then bought there were problems trying to put it in my cart, contacted Amazon explained situation and they sold it to me at sales price. GREAT OUTFIT.","2015-08-28",1,1,"Price"
"71",92,"US",11723347,"R8D1GQKP5D6YC","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","This Kindle is so much better than the one I bought 3 years ago","This Kindle is so much better than the one I bought 3 years ago. It's so much faster! Advice: get more GB. I'm having to decide what to keep and let go off my device.","2015-08-28",1,1,"Speed"
"72",93,"US",905137,"R13VH10V67SKEO","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Amazing Tablet!!!","This has amazing sound!!! The quality of this tablet is great!!! I love it alot more then I thought I would!! A great value!!!","2015-08-28",1,1,"OTHER"
"73",94,"US",4294708,"RIF4ISMBGVE7Y","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Great","2015-08-28",1,1,"OTHER"
"74",95,"US",1024433,"R20OI0K966KYJE","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Great product","2015-08-28",1,1,"OTHER"
"75",96,"US",37359059,"R34HH4DT6SNXGB","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Love it so gar","2015-08-28",1,1,"OTHER"
"76",97,"US",7076594,"R2J4X1XHEDBRJD","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","better and better and easier than first kindle.","More than I expected...startup was much easier than I expected.","2015-08-28",1,1,"Ease"
"77",98,"US",839658,"R1LLI7YOZVIOLG","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Love!!!","This is just awesome! It starts up pretty quickly compared to the laptop I have. It's so nice to just grab it when I want to look something up. Now I don't have to wait around for my laptop to start up.","2015-08-28",1,1,"Speed"
"78",99,"US",12955279,"R2QX9M08VFSY19","B00KC6XV58",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Very satisfied Kindle customer","Love it.  This is the fourth one I bought.  One for myself and three others for gifts.  After two years I had a problem with mine.  I called Amazon and they instructed me what to do and my problem was solved.","2015-08-28",1,1,"OTHER"
"79",100,"US",34229112,"RYW4MPGRODHK4","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","love it","2015-08-28",1,1,"OTHER"
"80",103,"US",20596432,"R3770FE73YXOFX","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Great Tablet","Having lots of fun with this tablet. Colors are brilliant. Speakers are great. Overall couldn't be happier with it.","2015-08-28",1,1,"Display"
"81",105,"US",41037156,"R8LA0Z6FC25G2","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Love love love","It's exactly what I wanted! I love the music, books and videos. So easy to use. Love it!","2015-08-28",1,1,"Reading"
"82",106,"US",4567813,"R2NSF6CCADWV6Q","B00LCHRQL6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","I enjoy my kindle fire.","2015-08-28",1,1,"Reading"
"83",107,"US",31324505,"RB3VBJXN19KV4","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","new 7 is awesome!!","Finally retired my old kindal, new 7 is awesome! !","2015-08-27",1,1,"OTHER"
"84",111,"US",47876911,"R1RYPAA4388K3G","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Excellent!!!","2015-08-27",1,1,"OTHER"
"85",112,"US",2567321,"R2MDNNWYK8A97P","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","I really like it. I have had no problems","I bought my kindle fire. A couple of months ago.  I really like it. I have had no problems. So far. My only complaint  is. I wish the sub or charging cord. Was longer. Because I have this thing that I like to read while my tablets charging.","2015-08-27",1,1,"Battery"
"86",113,"US",31175660,"R3ASF35AZGMKT5","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Yay! The power button is on top of the device!","This is my fourth Kindle with the last three being Kindle Fires.  The first lasted 4+ years, but then I accidentally cracked the display.  My granddaughter is now the proud owner of the second.  I find I like to have two Kindles on hand, so I never have to be tethered to a charger while I try to quickly (and sometimes uncomfortably) read the last chapter of a good book.  The phone app is okay in a reading emergency, but I find it is not quite heavy enough to wake me up when it hits me in the face if I have fallen asleep while reading ;)  So, my newest Fire gets 5 stars because finally the designers were thinking like actual Kindle users by putting the power button at the top of the device instead of at the bottom where it was too easy to accidentally power cycle.  The charging port is at the top as well which is nice.  Otherwise, this device is pretty much the same as the last one.  Good job Amazon!","2015-08-27",1,1,"Reading"
