"","X","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date","sentiment","sentiment_2","category"
"18",69,"US",29512655,"R195SL3BWA6TAH","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","just wish when you buy the kindle from a retailer ...","just wish when you buy the kindle from a retailer you could see the settings to show your memory and version instead of having to go to amazon website","2015-08-29",1,-1,"OTHER"
"19",87,"US",5086684,"R1G07BTSJVSY25","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","The camera is poor. The downloads are easy","The camera is poor.  The downloads are easy.","2015-08-28",0,-1,"Camera quality"
"20",91,"US",43585058,"R1ZCBSXQQTO6QC","B00IKPX4GY",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","I'm having concerns about the volumn It goes all the ...","I'm having concerns about  the volumn  It goes all the down to a faint whisper after a short time in use. I'm going to use it to watch something at length and see if this continues.  If so I will return it for a new one. If this is necessary I will need a return label sent to me as I don't have a printer. Will be in touch.","2015-08-28",0,-1,"OTHER"
"21",102,"US",11905815,"RQ5XVDK1QOA0","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","Good buy","I would buy one wit more space. 8 GB is not enough even a two yr old (for whom it was bought)","2015-08-28",1,-1,"Storage"
"22",104,"US",49908581,"R9EJXSFC476EB","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","Don't Purchase for Children over 9","By far, my most disappointing purchase on Amazon ever.<br />I purchased this for my child, and tried to set up the &#34;teen&#34; profile.  The teen profile is slightly, if at all, different from the toddler profile.  So, if I want my child to actually USE the device, I have to set him/her up as an adult, thereby obtaining access to ALL of my content.<br />Amazon should be ashamed of themselves for touting what could be a terrific product as &#34;kid friendly&#34; when Freetime and Parental Controls are so obviously broken.<br />Parents of children over 9 - LOOK ELSEWHERE!!!","2015-08-28",0,-1,"OTHER"
"23",109,"US",38810383,"R3P73JRMAR05J2","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","... the shopping icon show up on my carousel very annoying. cant seem to turn off the locator that ...","the advertisements keeps making the shopping icon show up on my carousel very annoying.<br />cant seem to turn off the locator that tracks you everywhere, an app turned it on and not i cant turn it off.<br /><br />Video quality is good","2015-08-27",0,-1,"Ads"
"24",119,"US",1343945,"R1XTNCE5YWH8WJ","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","Not satisfied at all with this product","Unit locks up all of the time. Tech support asked that I use it for 10 days or so and see if it keeps doing it? Not satisfied at all with this product.","2015-08-27",0,-1,"Software bugs"
"25",135,"US",15840131,"R244R7AI7K5HL3","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","Amazon Fire need a little more spark.","Slow download capacity. But the unit is pretty good. I haven't used the fire stick as I'm a prime guest not given the same perks as a prime account user. Have to pay for the movies","2015-08-26",0,-1,"Price/value"
"26",136,"US",18352727,"R26T2RAIFPR6RJ","B00KC72CRU",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","Nice picture and does the simple things I wanted it ...","Nice picture and does the simple things I wanted it to do but a little heavy for my taste.  Samsung is lighter for a larger screen but quite a bit more pricey.","2015-08-26",0,-1,"Build quality"
"27",152,"US",237030,"RQRBTYENNSJRY","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","Its nice and cheap but the app store is awful","Its nice and cheap but the app store is awful.  Amazon apps are awful they are missing very popular and important apps. Also you can't customize your kindle and they use your home screen as an advertisement space.","2015-08-26",0,-1,"Google Play"
"28",153,"US",35025415,"R9GNECQYY76EI","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","Four Stars","Bought it for the additional camera and photo app. Had ordered blue but received black.","2015-08-26",1,-1,"Build quality"
"29",156,"US",11444652,"R1KVNVD7Q6HLZ7","B00LCI2I7C",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","Placed older model","There is lots of new features that I like over my old one, like the charger is on top along with the turn on buttom (great) its thin and lighter (great) but I am haveing problems openning my apps some says error. I will go to my old Kindle and it works great.","2015-08-26",0,-1,"Software bugs"
"30",158,"US",10825487,"R32T13VNU9EJVA","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","Crap. Only buy if you want to replace in a year.","Lasted less than 2 years and because it was out of warranty Amazon did nothing. I will never buy another Amazon product again!!!!!!! I barely used it and it locked and would not turn back on. Oh yeah, forget about talking to someone who speaks English when trying to fix problem.","2015-08-26",0,-1,"Build quality"
"31",168,"US",8307933,"R31KRVUHWMAD6K","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","Four Stars","The camera resolution is not very clear.","2015-08-26",1,-1,"Camera quality"
"32",181,"US",11666777,"RPXK7CW2U90BT","B00LCHSHMS",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","Bad charging process!","Very disappointed in the charging process.  It holds a full charge for 5 hours but runs down the battery whether in use or not.  Will be plugged in all day/night and still not be charged.  Will just show the low battery symbol.  Very frustrated with this.","2015-08-25",0,-1,"Battery life"
"33",184,"US",14943818,"R1UVDR32X58476","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","For the $79 price it is a pretty good purchase","I got this during the Amazon one day sale. For the $79 price it is a pretty good purchase. After having it for a month it died. I couldnt even factory reset and had to get a replacement. Amazon handled the replacement great and the new unit came in 2 days. As an e-reader this works great. However to be more of a tablet it left me desiring more. I like that there is an extensive library of ebooks. I like that I can search web if I want but I think I will go for a more robust tablet.","2015-08-25",0,-1,"Price/value"
"34",192,"US",36020687,"R3TZDA8KYTFR9S","B00KC6XV58",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","Free time flaw","Loved this tablet until I found out that you can't share downloaded prime instant videos on a child's profile.  the only way for the chd to watch prime videos is through the parent profile.  very inconvenient and not thrilled I'm paying for prime and can't allow child to watch videos on long car rides.<br />UPDATE:<br /> Had to go down to two stars:  An update that came out a few months ago made it so that whenever you turn on the tablet it automatically boots to the parent profile.  Before the update it would automatically load whichever profile was loaded when it shut down.  This change is causing a good deal of frustration with the toddler who used to be able to power it on and get into his profile with very little assistance.<br />Also, I purchased the full version of some preschool apps, but they cannot be used in the child's profile because it does not allow for in-app purchases.  While Amazon was willing to refund my money for the apps, their first response was to allow the child to use the apps in the parent's profile.  I felt that defeated the purpose of parental controls.  My husband and I use a Samsung tablet.  When we upgrade our tablet we're going to give our old one to the kids because the Samsung Kid's Mode app is more user-friendly--it allows in-app purchases to be used in Kid's mode and if the tablet shuts down in kid's mode, it reboots in kid's mode.","2015-08-25",0,-1,"OTHER"
"35",196,"US",31419012,"R1AA45P9XOF17S","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","So so","I love the weight of this Kindle. But it keeps stalling and I end up with a black screen. The only thing I can do is restart. The charger does not stay in the hole on the Kindle.  They tried to make it do too much","2015-08-24",0,-1,"Freezing"
"36",198,"US",2600675,"R1FP16ET22CBBJ","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","This is very slow. Likes to freeze up. ...","This is very slow. Likes to freeze up. Would not buy one. Won this in a raffle. I will be sticking with the I pad.","2015-08-24",0,-1,"Freezing"
"37",201,"US",29164932,"R1D5RK3B93G27M","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","HELP!","the Fire HD 7 is very nice, but the directions for use that came with it are terrible for someone that has no idea how to use it. Is there somewhere to get information o how to use it? Need help.","2015-08-24",1,-1,"OTHER"
"38",202,"US",28023033,"R3A9V78FAAW7L2","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,1,1,"N","Y","Not a fan of the HD 7","Worst Kindle I've ever owned! I've had this kindle replaced 3 times now. Fortunately, it was still under warranty. One of the replacements I was sent worked fine for a couple of days and then it just wouldn't turn on at all! Customer service was very helpful and they quickly sent me a replacement....3 times. This final replacement they sent me still has issues with going blank.  I'll just stick to my older kindle.","2015-08-24",0,-1,"Hardware Issues"
"39",203,"US",12351816,"R2MNB78MOIUTRK","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","Gotta a Lemon!!","I have had 3 kindles, bought this new one a week ago. Nothing worked right. Goes to a blank screen, skips pages, have to power off to try to bring screen back up. They are sending me a new one , hope its better. If not ,I will buy I Pad Mini.","2015-08-24",0,-1,"Freezing"
"40",213,"US",34809301,"R3HUZWMMBDJSU4","B00KC89C2C",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,1,1,"N","Y","Fine for reading; frustrating for online use","I like having a Kindle to read and get online, but I was really disappointed to find that regular Android apps don't work on it (you have to do complicated workarounds, which is really frustrating) and mine is pretty slow to turn on. Overall, I wish I would have gotten an iPad.","2015-08-24",0,-1,"Software bugs"
"41",220,"US",50522465,"R36M0OVK9QKRS5","B00LCHRQL6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","It works fine, but I find the ""offers"" as disconcerting","It works fine, but I find the &#34;offers&#34; as disconcerting. This replaces my original Kindle Fire. I find I liked the old one better.","2015-08-24",0,-1,"Ads"
"42",235,"US",1949073,"R1H1891OHK4V0E","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","Not Happy.","I was not pleased. I have 3rd generation Kindle Fire and love it but needed more GB so ordered this newer one. The app I NEEDED to have , Moon Reader, which I have on the older version is impossible to download on this newer Fire. I expected more and am so disappointed, would like to return and exchange for a Google Nexus.","2015-08-23",0,-1,"Google Play"
"43",239,"US",13465687,"R12RYQN9T86M1R","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,1,1,"N","Y","Disappointed","The picture is no where near as good as I expected. It definitely should not be called HD. The battery is not good either. Even when I am just reading the battery drains really quickly. An hour of reading drains the battery by at least 40%. I bought the 16 GB version and it moves really slow and lags. I am extremely disappointed- I wish I would have just saved up another $100 and gotten a better tablet.","2015-08-23",0,-1,"Camera quality"
"44",241,"US",45632590,"R19DDODLXXAV81","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,4,4,"N","Y","freezing screen","I have had this tablet since November 2014. I loved it at first but starting about three months ago I have had nothing but problems with the tablet freezing on me. They have replaced it now two more times but continue to have the same problem. Very very frustrating!!!!","2015-08-23",0,-1,"Freezing"
"45",244,"US",13921542,"RXDC18QDZ088L","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,2,2,"N","Y","Wish I could have kept the first one.","Loved my first one.  This one frequently freezes, blacks out, and sometimes will not work at all.  I have had it ready to take back to point of purchase and tried it again only to have it start up again.  Not impressed with this model.","2015-08-23",0,-1,"Freezing"
"46",246,"US",7698057,"RNX3V0UEJQAE6","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,1,1,"N","Y","my kindle HDX 7 got knocked off a chair and broke","Ever since Amazon started using the new people to go thru for returns or breakage. I am sorry to say they no longer stand behind there products.","2015-08-23",0,-1,"OTHER"
"47",250,"US",13061481,"R26OVF1DQJ1AFD","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","I was very disappointed that I can not see the screen outside","I was very disappointed that I can not see the screen outside. I thought it was the same screen as a Kindle.","2015-08-23",0,-1,"OTHER"
"48",255,"US",43476611,"R30OAVXE643VFF","B00LCHOCZY",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","Fire 7.7"" HD","I received my kindle fire 7.7HD and found that I could not use a headset.  I was getting no audio through the set.  I checked the ear buds and they work fine with my old Kindle.  I contacted customer service and the made arrangements to send me another Kindle.  I sent back the damaged Kindle.  I received the new Kindle on Friday 8/21 and the earbuds only work on one side.  I don't get audio on both sides, also the picture keeps flipping around.  Now I am very unhappy with the new Kindle and will be contacting customer service to return the Kindle and get credit for my purchase.  Before you send out a replacement I would think you would check that everything is working .  I have been dealing with Amazon for a few years and never had any trouble before.  I hope you will be able to correct this problem.  Marian S.Kindle","2015-08-23",0,-1,"OTHER"
"49",257,"US",24360444,"R24562KIYMRUBP","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,1,2,"N","Y","Charger?  Who needs a Stinking Charger?","Piece of s***.  Charger is flawed.  This should be recalled.  Let's a spade a shovel shall we gentleman.<br />What has happened to.Amazon's customer service????  Once beyond excellent, it is now garbage.  Wha Happan Amozon?","2015-08-23",0,-1,"Build quality"
"50",258,"US",214860,"RLVXFOMU2IAY4","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,1,1,"N","Y","Three Stars","when I am reading a book it freezes on me. Then I Have to power down to unfreeze it.","2015-08-23",0,-1,"Freezing"
"51",259,"US",22411582,"RTJUC11RWE9KU","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,2,"N","Y","to many pop ups and poor customer service. I wouldn't recommend","I hate this product","2015-08-23",0,-1,"OTHER"
"52",266,"US",114451,"R1MW95FUYPMZIV","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","slow and bulky","The moment I took it out of the box it started lagging. it was thick but the battery life said otherwise. Did not meet my expectations. It also does not run android...","2015-08-22",0,-1,"Software bugs"
"53",269,"US",10385787,"REDKQUFO6885Q","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,1,1,"N","Y","Battery lenght","The battery dies twice as quick already. I have only had the product for about 5 months. Not quite what i expected.","2015-08-22",0,-1,"Battery life"
"54",277,"US",43278593,"RJMOJ7OV9C9MR","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,1,1,"N","Y","Where are the Google Apps???","This new tablet is a lot sleeker and faster.  Gotta give Amazon credit on that.  The main complaint is the fact they do not allow Google apps to be installed.  Google offers so many functional apps, that could turn this tablet into a computer.  Instead, this tablet only seems to be useful for games and books.  This may be a cheap tablet, but there is no value, since you cannot use it like a computer.  You might as well but the Google tablet, and then it's 2 for the price of one.  I am being you Amazon, please support Google apps, or allow this tablet to integrate with the Google Play store.  I will no longer invest in the tablets until that happens.","2015-08-22",0,-1,"Google Play"
"55",280,"US",15985874,"R2S9XCFCLX49P0","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,2,2,"N","Y","Two Stars","we sent two back before getting one that worked","2015-08-22",0,-1,"OTHER"
"56",281,"US",25039240,"R1TQ3ISMG5JOLW","B00IKPX4GY",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","Three Stars","Battery seems to die faster.and seems thicker and heavier.","2015-08-22",0,-1,"Battery life"
"57",285,"US",8963531,"R1VLPCS1XTG5VT","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","This was unusual! Anything that could go wrong seems to.","Defective. All kind of hassle replacing. Service people very nice though maybe ill informed of procedures. Finally figured out? Though still a problem in listening to customer needs so again I will have contact service again today, 5th time not so good for long standing Amazon customer.","2015-08-21",0,-1,"OTHER"
"58",286,"US",43750582,"R2YNBEZZGKHQUW","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,1,1,"N","Y","disappointed","I have been very disappointed with this kindle. I purchased 2 kindle fire hd 7,7. Both have similar problems. They randomly freeze, restart, and shut down. Also difficulty with the power button, kindle will not turn on. I have an older kindle fire hd that doesn't have any of those issues.","2015-08-21",0,-1,"Freezing"
"59",289,"US",24198362,"R31HAVCI77XMMN","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","Disappointed","Don't like this one half as much as the earlier generation.  The screen keeps going off a few seconds after turning on if you don't respond to it, so you have to wait around for it to boot up or you start over again.  A lot of the new &#34;improvements&#34; aren't intuitive or helpful, like the volume control  buttons on the rim.<br /><br />They force you to buy a whole new case for this version because the buttons are in different places. I wish I could've kept my older one forever, but the batteries wear out in these things and can't be replaced.  How convenient.  Technology is this advanced but they can't figure out how to replace/fix a battery for these devices.  Thanks for being crafty-greedy, Amazon.<br /><br />I've been a loyal Amazon customer for years and have never been disappointed, until now.","2015-08-21",0,-1,"Software bugs"
"60",293,"US",39282365,"R3GDY77H5HYOWI","B00IKPX4GY",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","A fine product!","Great product, but it does take a bit of time to adjust to. Coming from iOS, some of the displays aren't intuitive, like the home screen that shows only some of the apps unless you select one of the categories from the top and the carousel, which I believe shows you the most recent used apps but shows me books, too. I wish there was a way to categorize apps within the home screen, because it's quite messy. Silk is not my favorite browser, and I don't like how I have to go to the homes screen to check something on another app (i.e- Goodreads) and then have to return to Silk to search, if that makes sense. Essentially, I think there needs to be an easier way to toggle between apps. However, the Kindle does it's job, so no big deal.","2015-08-21",1,-1,"OTHER"
"61",297,"US",45849214,"R3PUNBU6Y8RM5P","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","Horrible, don't buy this!!!","Absolutely awful product.<br />the day I got it and charged it, all I could get was a black screen that gave 2 options:<br />a) reboot<br />b) reset to factory defaults<br />I tried both, nothing worked.<br />called Amazon, they sent me a replacement.<br /><br />then the SAME EXACT THING HAPPENED AGAIN.<br /><br />Two Kindle Fires, brand new out of the box, neither worked.<br />I won't be trying a 3rd time.","2015-08-21",0,-1,"OTHER"
"62",304,"US",17411074,"R3KN2D42VZULFG","B00LCI2I7C",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","No e-mail sign out!!!","I think it's ridiculous that you can't sign out of your e-mail account! I also would have liked to get the color I wanted without having all the ads.","2015-08-21",0,-1,"Ads"
"63",306,"US",30362124,"R13TY0LMNV4H8V","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","Two Stars","8GB is too small. Get something bigger.","2015-08-21",0,-1,"Storage"
"64",307,"US",13942307,"R118XR86XAPGCR","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","Have to charge battery much more often. Not as ...","Have to charge battery much more often.  Not as user friendly as the kindle fire.  Harder to figure out how to do certain functions.","2015-08-21",0,-1,"Battery life"
"65",308,"US",4708050,"RMUPLTVYWEIUL","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","defective","It only lasted about 2 or 3 months before the screen blacked out.","2015-08-21",0,-1,"Build quality"
"66",315,"US",51634527,"R33DT871KTT8YI","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","Free music and movies are limited to poor choices including Amazon Prime","antiglare protector screen does not work well, the millions of free songs never seem to be the ones I want... my taste runs to the classic rock 70's and 80's and there is a cost to almost every selection I made... movies same story.  I will probably cancel Amazon Prime for the same reason  if my experience doesn't change in the next few weeks.  Otherwise the hardware is everything I expected.","2015-08-21",1,-1,"Ads"
"67",317,"US",43572385,"R14KZ1JJYC42RG","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","LOVED this feature","was so used to my previous Kindle which allowed me to have all my unread books on the carousel and all read books in favorites.  LOVED this feature. Wish it was on this Fire HD7","2015-08-21",1,-1,"OTHER"
"68",320,"US",24063618,"RH610O3QU6OUK","B00LCHOCZY",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","the screen freezes often. It does not always go ...","the screen freezes often.  It does not always go to the last page you read, sometimes it resets back to the beginning of the book.","2015-08-20",0,-1,"Freezing"
